X,Bintang,Pengguna,Komen,Tanggal
117,Diberi rating 5 bintang dari 5 bintang Diberi,Tinirustini Tini,"Mudah""an cepat di hubungin dan langsung di acc",02/25/2020
118,Diberi rating 1 bintang dari 5 bintang Diberi,Mustopa Kamal,Kok lama ya.pengajuan dr tgl 10 desember sampe skrng..trmksh,01/13/2020
119,Diberi rating 5 bintang dari 5 bintang Diberi,Siti hotijah,Sy dah brp kli ngajuin blm jg ada blsanny. Knp y. Klo TDK diacc ya hrs ada blsanny TDK diacc.,12/29/2019
120,Diberi rating 1 bintang dari 5 bintang Diberi,A irawan Budi susetya,Cermati mohon pengajuan saya direspon kok dari tgl 1-7 g pernah direspon,02/09/2020
121,Diberi rating 1 bintang dari 5 bintang Diberi,dede pahruroji,mau unistal..takut!!biodata tersebar..d tungguin..malah makan hati!!,12/03/2019
122,Diberi rating 1 bintang dari 5 bintang Diberi,Hilman Suprijatna,Tetep aja sulit untuk mengajukan pinjaman kilat...,01/06/2020
123,Diberi rating 1 bintang dari 5 bintang Diberi,Ammah Dhea,Ga usah d download Apk perantara ga ada kejelasan nya,03/01/2020
124,Diberi rating 2 bintang dari 5 bintang Diberi,sodariku cenel,Pengajuan pinjaman saya ga di lihat2.. php doang x ya aplkasi ini,12/13/2019
125,Diberi rating 5 bintang dari 5 bintang Diberi,Moh Isnaeni S Ale,Berkait support dan memberikan solusi perputaran uang Nasabah,01/08/2020
126,Diberi rating 5 bintang dari 5 bintang Diberi,Reza Sahnun,"Terimakasih atas bantuannya, semoga pengajuannya diacc",01/13/2020
127,Diberi rating 4 bintang dari 5 bintang Diberi,dwi sadhinoch,"Pengajuan nya tolong di proses cepat dong.. Biar gak mrasa si PHP in, tlong.. Karna sangat butuh dana..",12/02/2019
128,Diberi rating 5 bintang dari 5 bintang Diberi,Jimmy sukendro,"Cepat, lancar dan mudah langsung cair dgn KTP aja",12/09/2019
129,Diberi rating 1 bintang dari 5 bintang Diberi,Rafi Rafi,Ni apk Buruk Ga usah di intal di browsernya Pinjam 10 juta Paling sedikit dan waktu tenornya 46 bulan Tiba di download apknya Tenor cma 6 Bulan penipu Bangsat,01/05/2020
130,Diberi rating 1 bintang dari 5 bintang Diberi,Bayu Nata Sukma,saya membeli kode token listrik kenapa kode nya blom dikirim,12/09/2019
131,Diberi rating 5 bintang dari 5 bintang Diberi,Abd Rohman,Semoga pinjaman saya cepat diproses terima kasih cermati,01/21/2020
132,Diberi rating 5 bintang dari 5 bintang Diberi,Dendy Tera,Membantu menyalurkan ke untuk mencari pinjaman,02/25/2020
133,Diberi rating 1 bintang dari 5 bintang Diberi,Alan Agustian,Lama amat prosesnya uda 1minggu lebih blm ada penjelasan trima atau tidaknya,01/18/2020
134,Diberi rating 5 bintang dari 5 bintang Diberi,Asman Kumis,"Pengajuannya gimana ini, proses terus sudah 1 minggu",12/10/2019
135,Diberi rating 5 bintang dari 5 bintang Diberi,Agung Kurniawan,Semoga bisa membantu Mslh keuangan sya. Terimakasih...,02/01/2020
136,Diberi rating 5 bintang dari 5 bintang Diberi,Jhoni Neolaka,semoga di permudahkan pengajuan dan cepat di ACC,02/06/2020
137,Diberi rating 3 bintang dari 5 bintang Diberi,erwansyah erwansyah,Semoga di ACC 1 lagi baru saya tambah bintang nya .. trims,12/20/2019
138,Diberi rating 5 bintang dari 5 bintang Diberi,Dessy Aryanti,"Ngajuin kartu kredit bca ,,orangnya udh kermh smpe skrng gk ada kbarnya lagii ,,bagaimana tuhh",02/29/2020
139,Diberi rating 1 bintang dari 5 bintang Diberi,Salsya Sabila,"aplikasi ga jelas pengajuan hampir 2thn ga ada kejelasan,aplikasi php tlp aja rajin cuma kejelasan status aplikasi ga ada berita kelanjutanya",11/29/2019
140,Diberi rating 5 bintang dari 5 bintang Diberi,Hasani Sani,Apa bisa membantu Sy proses kartu kredit dgn cepat,12/20/2019
141,Diberi rating 2 bintang dari 5 bintang Diberi,mufti muflikhun,Kecewa prosesnya memakan waktu lama dan tidak ada kejelasan apapun,01/06/2020
142,Diberi rating 1 bintang dari 5 bintang Diberi,Nur Hayati,Paarahh ini CC ga jelass banget dh mau sebulan ga ad kjelasan statusnya cm sdg proses pengiriman ke institusi terkait doank,02/14/2020
143,Diberi rating 5 bintang dari 5 bintang Diberi,Dita Tiara,Semoga di ACC dari pihak tersebut. Ami 🙏🙏,02/17/2020
144,Diberi rating 4 bintang dari 5 bintang Diberi,Tri Prasetyo,Aplikasi sangat membantu ramah dan berguna,02/04/2020
145,Diberi rating 5 bintang dari 5 bintang Diberi,aji coating,Kapan pinjaman di proses ? Saya lagi butuh,12/06/2019
146,Diberi rating 3 bintang dari 5 bintang Diberi,Kiara Desmaharani,pengajuan aplikasi saya g ad kabar baik KTA maupun CC,01/28/2020
147,Diberi rating 5 bintang dari 5 bintang Diberi,bambang santoso,Dalam penqajuan penqisian gak lama cepet tpi juqa apakah bisa lulus diproses juqa cepet atau...,02/09/2020
148,Diberi rating 3 bintang dari 5 bintang Diberi,Ari Agustin,Sya masih kasih bintang 3 dikarnakan pengajuan sya belum ada yng di stujui,02/11/2020
149,Diberi rating 1 bintang dari 5 bintang Diberi,Azahra Putri,"Tolong donk jgn buang waktu saya, klo di acc buruan cairin dana y, jgn bisa y nlpn ksh harapan, tau2 ga cair2,,,",11/14/2019
150,Diberi rating 5 bintang dari 5 bintang Diberi,Istiningdyahsih Pambudihayu,Meskipun blom di acc saya kasih bintang 5 ... karena yakin dapat membantu saya,12/02/2019
151,Diberi rating 5 bintang dari 5 bintang Diberi,Azie Thea,Mudah mudahan bisa membantu .........amin,01/09/2020
152,Diberi rating 5 bintang dari 5 bintang Diberi,Ayah Agus tempe,Semoga pengajuan kta saya d proses dgn cepat,02/26/2020
153,Diberi rating 1 bintang dari 5 bintang Diberi,Dina Oktari Helmi,"saya ajuin tpi sampe lebih dri seminggu gak ada kabar ,hanya ditelpon aja trus klo emang gak di acc beri kabar dong",11/29/2019
154,Diberi rating 3 bintang dari 5 bintang Diberi,Kartika Tika,Ssh bngt masukin buku rekening aja ga bisa trs ..,02/02/2020
155,Diberi rating 5 bintang dari 5 bintang Diberi,Latief Rudin,Selamat sore ko pinjam KTA Hana Bank saya belum ad kejelasan ya sudah dua hari,12/04/2019
156,Diberi rating 5 bintang dari 5 bintang Diberi,Jaenudin saja,Keren... 2 kartu kredit di acc..,02/10/2020
157,Diberi rating 1 bintang dari 5 bintang Diberi,Mamme Keylla,Tak ada konfirmasi sama sekali percuma,02/25/2020
158,Diberi rating 1 bintang dari 5 bintang Diberi,Nudin Gamers,Apk ga jelas prosesnya validasi truss ampe monyet jdi raja jalanan jga kga bakalan di setujuin,02/26/2020
159,Diberi rating 5 bintang dari 5 bintang Diberi,Wiwid Ciwod,Sangat membantu..berharap pengajuan saya di setujui lewat cermati.,11/16/2019
160,Diberi rating 1 bintang dari 5 bintang Diberi,Iyung Bhenk Benk,Aplikasi buruk dan lambat. Terima kasih,12/13/2019
161,Diberi rating 5 bintang dari 5 bintang Diberi,TIGA dara99 chanel,Insya allah cermati amanah dan bisa membantu,12/16/2019
162,Diberi rating 5 bintang dari 5 bintang Diberi,adit dharma Putra,Semoga diacc pengajuan saya y min kebutuhan mendesak....,01/07/2020
163,Diberi rating 5 bintang dari 5 bintang Diberi,Malsha Ajk,Ku coba mngajukn dana buat modal smoga di acc,02/29/2020
164,Diberi rating 5 bintang dari 5 bintang Diberi,ALDI BONNY JOSEF JOSEF,Sangat Membantu saya. Terima Kasih,02/07/2020
165,Diberi rating 3 bintang dari 5 bintang Diberi,Aprilia 19,Lama banget proses verifikasi nya?,02/10/2020
166,Diberi rating 5 bintang dari 5 bintang Diberi,Sandy Sanjaya,Kenapa tidak ada komfirmasinya kembali ya tentang ajuan saya,01/23/2020
167,Diberi rating 3 bintang dari 5 bintang Diberi,ricky alkatiri,Sy kasih bintang 3 dulu kalau di setujui nanti sy tambah,12/02/2019
168,Diberi rating 1 bintang dari 5 bintang Diberi,3 Davha Agilang,"Aplikasi bodoh, kode otp pun tidak dapat",12/19/2019
169,Diberi rating 4 bintang dari 5 bintang Diberi,Maruli Zen,Cukup membantu 👍... terima kasih aplikasi saya telah di setujui 😊,11/18/2019
170,Diberi rating 5 bintang dari 5 bintang Diberi,Yadi Jayadi,Smoga cepat di acc karena sy btuh buat pembiyaan anak sekolah,01/07/2020
171,Diberi rating 5 bintang dari 5 bintang Diberi,Gani Prasetyo,Sangat membantu thanks cermati..,02/21/2020
172,Diberi rating 5 bintang dari 5 bintang Diberi,Dudin Suryadin,Mohon maaf bisa di batalin gx pengajuan saya. Tanks,12/04/2019
173,Diberi rating 5 bintang dari 5 bintang Diberi,Okta Item,mudah mudahan di acc makasih sebelumnya,01/29/2020
174,Diberi rating 2 bintang dari 5 bintang Diberi,Abdul Majid,Kasih bintang 2 dl.klau emang ok sy tambah lg 5,12/20/2019
175,Diberi rating 5 bintang dari 5 bintang Diberi,Faurik Nugraha,"Saya di telpon oleh tunaiku, di bantu mengisi data, dan semua data sudah di isi dengan benar, lalu menunggu konfirmasi dari pihak Amar Bank, dan ada statusnya berhasil, dan tidak lama kemudian tidak ada kejelasan lagi, tadi barusan saya ditelpon katanya dananya sudah cair belom? Saya kaget, saya bil...
Ulasan Lengkap",02/17/2020
176,Diberi rating 5 bintang dari 5 bintang Diberi,fai haw hwa,"Mudah mudahan bagus, praktis bermamfaat, aminn",12/01/2019
177,Diberi rating 5 bintang dari 5 bintang Diberi,Nur Anisa fitria,Sangat Membantu bagi anak2 yang minder,12/19/2019
178,Diberi rating 1 bintang dari 5 bintang Diberi,rahmat sunarno,Semua ulasan keluhanya sama ngk ada respon ni aplikasi ngak bertangung jawab.alias abal2,01/10/2020
179,Diberi rating 5 bintang dari 5 bintang Diberi,Rizky Mahesa,"Semoga pengajuan sya diacc,lg bth dana bwt ank pendidikan dll kebutuhan mksh,sukses sllu",01/20/2020
180,Diberi rating 1 bintang dari 5 bintang Diberi,Ilove Gibran Ku,Aplikasi BANGSAT LOH cuma ngambil data doang...goblok,12/07/2019
181,Diberi rating 3 bintang dari 5 bintang Diberi,noor dian teja dian,Ksh 3 bintang dlu...pengajuan lama banget,12/08/2019
182,Diberi rating 5 bintang dari 5 bintang Diberi,Riduwan 1979,sya kasi bintang 5.sya yakin ajuan pinjaman sya di tolong aplikasi cermati thnks,12/06/2019
183,Diberi rating 3 bintang dari 5 bintang Diberi,Heri Yadi,"3 dlu,,,lihat hasil,,",02/04/2020
184,Diberi rating 5 bintang dari 5 bintang Diberi,syarif idris,Gak sulit tuk mendapatkannya..,01/04/2020
185,Diberi rating 5 bintang dari 5 bintang Diberi,Isupandiman@gmail.com Iman Supandiman,Sngt mmbntu hal kprluan seseorang..moga brkah crmati.,12/14/2019
186,Diberi rating 5 bintang dari 5 bintang Diberi,Koalbinet,"Fiturnya lengkap, mantap,ok",01/10/2020
187,Diberi rating 2 bintang dari 5 bintang Diberi,Kubo Kono,2 bintang dulu..soal nya ga bisa bisa..,12/02/2019
188,Diberi rating 1 bintang dari 5 bintang Diberi,Ikhsan claude van damme,Kapan sih pinjeman di acc nya lama bgt,01/10/2020
189,Diberi rating 5 bintang dari 5 bintang Diberi,Pensak Lobong,Trima kasih atas bantuan nya,02/09/2020
190,Diberi rating 5 bintang dari 5 bintang Diberi,Jeff Bawel,"Kasih bintang 5 biar ada paling atas. Yth pihak cermati, saya mau tanya tentang pengajuan bpjs saya. Udah di bayarkan kok belum ada tanggapan dari pihak bpjs dan cermati. Malahan di suruh nunggu. Sudah hampir 1 bulan tapi tidak ada tanggapan berupa telpon atau email. Mohon di tindak lanjuti. Terima ...
Ulasan Lengkap",02/19/2020
191,Diberi rating 1 bintang dari 5 bintang Diberi,agus muhajirin,Tidak bisa di andelin..kecewa,12/06/2019
192,Diberi rating 1 bintang dari 5 bintang Diberi,Nur hidayat,Coba ngajuin bpjs udah berminggu minggu status belum berubah,01/31/2020
193,Diberi rating 5 bintang dari 5 bintang Diberi,Scorpio Touring,Kasih bintang 5 biar di acc,02/08/2020
194,Diberi rating 1 bintang dari 5 bintang Diberi,Yusup Wijaya,"AKu laku top, sangat menghargai setiap data yng masuk....cermati belajar dulu ....data minta segala macam...ujung2 nya TIDAK DI SETUJUI...RUGI KITA SUDAH SUDAH PERCAYA UPLOAD SEMUA DATA .ANDA DENGAN SEENAK UDEL NYA . MENYEPELEKAN..ADUHH BRO,SIS.J A N G A N D D O W N L O A D !!!!!!! RUGI BESAR",02/25/2020
195,Diberi rating 5 bintang dari 5 bintang Diberi,Helidah bagus banget Nuriah,Mudah mudahan bisa di ACC,02/28/2020
196,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Kaya ny palsu di tlp g pernah nyambung ni appk cs,01/22/2020
197,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Pengajuan KTA dan kartu kredit semoga di acc,11/30/2019
198,Diberi rating 4 bintang dari 5 bintang Diberi,Johni Roger,Brapa lama minn Proses pinjaman Saya udahh lebihh 2 hari inii,12/09/2019
199,Diberi rating 1 bintang dari 5 bintang Diberi,A sheno 1989,Ini aplikasi gmna saya kmarin pngajuan ko ga da kbar brita lgi ya🤨,01/03/2020
200,Diberi rating 5 bintang dari 5 bintang Diberi,Aditya Surya pratama,Semoga berkas saya di acc,02/28/2020
201,Diberi rating 5 bintang dari 5 bintang Diberi,Arief Tri,saya mau coba in aplikasi bner gak.klo gak ywdh apus,02/06/2020
202,Diberi rating 1 bintang dari 5 bintang Diberi,Aji Sholeh22,Apliksih gk ada orangnya...,01/12/2020
203,Diberi rating 5 bintang dari 5 bintang Diberi,Wins Fatimah,Membantu mencari solusi,02/28/2020
204,Diberi rating 1 bintang dari 5 bintang Diberi,Yudha Caldera,No hp tidak bisa di ganti cuk,12/28/2019
205,Diberi rating 5 bintang dari 5 bintang Diberi,Jerry Louis,"woy baca nih!!! gue ngajuin di apl anda, terus di tawarin asuransi segala, ini gue mau minjem uang malah di suruh naro duit di asuransi kesehatan!! orang asuransi nlpn terus, ganggu gue banget! dan gue iseng angkat, gue jawab iya iya aja karna kesannya sangat memaksa untuk pake itu asuransi! dan gue...
Ulasan Lengkap",01/13/2020
206,Diberi rating 3 bintang dari 5 bintang Diberi,Shanta Shanta,"Udh di telpon customer,mudah2n acc",01/24/2020
207,Diberi rating 3 bintang dari 5 bintang Diberi,tata aryanah,Tiga dulu masih bingung,02/17/2020
208,Diberi rating 1 bintang dari 5 bintang Diberi,Dika Rakasiwi,Dari dulu sampai sekarang setiap mengajukan belum pernah ada kepastian nya di ACC atau tidak nya. Ini aplikasi cuma bisa nya iming iming aja alias PHP tapi tidak ada bukti nya kecewa banget sama aplikasi ini yang tidak bisa menghargai orang yang mengajukan di aplikasi ini.,02/03/2020
209,Diberi rating 1 bintang dari 5 bintang Diberi,Yulia Yulia,Hapus. Data sy php doang,12/05/2019
210,Diberi rating 1 bintang dari 5 bintang Diberi,Haziq Shaquile Shaquile,G ada yg d acc KTA nya buang2 kuota,01/07/2020
211,Diberi rating 4 bintang dari 5 bintang Diberi,Endang Sri mulyaningsih,Cepat...tepat dan aman,01/11/2020
212,Diberi rating 5 bintang dari 5 bintang Diberi,Amar Enyenk,Langkah pasti sukses,02/24/2020
213,Diberi rating 5 bintang dari 5 bintang Diberi,Agita erni,Blm ada kelanjutan...,12/25/2019
214,Diberi rating 1 bintang dari 5 bintang Diberi,Fathiyah Thya,Koment sy sma kaya nya sama ...cermati hanya php aja..ditelpon nanti ngilang..nanti telpon lagi..kaga ada kepastian..sampe berbusa buang buang waktu jawab pertanyaan nya..tau tau cuma digantungin aja..ati2 dah sm datanya..ngeri di salah gunakan...,02/13/2020
215,Diberi rating 5 bintang dari 5 bintang Diberi,Arga Siahaan,Pinjaman saya belum ada penjelasan nya,12/04/2019
216,Diberi rating 5 bintang dari 5 bintang Diberi,Muhamad Sabar,Walaupun belum ada yg ACC,01/16/2020
217,Diberi rating 4 bintang dari 5 bintang Diberi,Mariah Ria,Mudah mudahan bs membantu,01/20/2020
218,Diberi rating 1 bintang dari 5 bintang Diberi,Fiqih Alfajriansyah,"Aplikasi gajelas . acc engga"" PHP",12/10/2019
219,Diberi rating 5 bintang dari 5 bintang Diberi,Azefri Yanto,"Untuk pengajuan KTA saya di BANK PERMATA harus menunggu berapa lama lagi iya, sudah hampir sebulan belum ada kepastian, sudah di telpon berkali kali, sampai sekaranf statusnya masih menunggu persetujuan institusi trus. Tolong kejelasannya ??",12/11/2019
220,Diberi rating 3 bintang dari 5 bintang Diberi,Polsus Ka,Semoga bisa bantu lebutuhan saya,01/08/2020
221,Diberi rating 5 bintang dari 5 bintang Diberi,Cinta Putri,Tolong di bantu boz,02/08/2020
222,Diberi rating 1 bintang dari 5 bintang Diberi,Suhaili Faza,Gk bisa kirim kode..,12/23/2019
223,Diberi rating 4 bintang dari 5 bintang Diberi,Farid Ibrahim,Kok lama ya nunggu validasinya,01/11/2020
224,Diberi rating 1 bintang dari 5 bintang Diberi,bee cinema,"Aneh loh di cermati ini. Ceritanya saya udh isi berkas di situs nya untuk bikin CC bank mega.trus beberapa hari saya di tlp suruh tanda tangan suruh foto juga trus berkas saya di foto.tp setelah itu ga ada info kelanjutan nya lagi sampai 1 minggu lebih.tiba tiba cermati tlp lagi bahas perihal berkas...
Ulasan Lengkap",02/10/2020
225,Diberi rating 4 bintang dari 5 bintang Diberi,Budi Wiyono,Tahap pertama klo bagus tambah bintang nanti,11/24/2019
226,Diberi rating 5 bintang dari 5 bintang Diberi,Toto Dianto,Smoga membantu....trimahksih,12/14/2019
227,Diberi rating 5 bintang dari 5 bintang Diberi,MAMAH AFKAR,mdh2an KTA sy di setujui ....aminnnn,01/17/2020
228,Diberi rating 4 bintang dari 5 bintang Diberi,Nurdin Nurdin,Semua aplikasi menurut saya bagus dan berniat membantu. Hanya nasabah aja yg sllu menyalahgunakan. Dan berniat kurang bagus. Kalau ditolak jngan menyalahkan satu pihak. Ok... Smga semua aplikasi pada jaya. Dan orang nya pada sehat.,01/24/2020
229,Diberi rating 1 bintang dari 5 bintang Diberi,rendy lutfi,Aplikasi ga jelas,02/13/2020
230,Diberi rating 1 bintang dari 5 bintang Diberi,Jo Young26,Gak jelasss.....aplikasi nyolong data ni mah,01/15/2020
231,Diberi rating 5 bintang dari 5 bintang Diberi,Serang Cibarusah,Fast respon dan puas,12/06/2019
232,Diberi rating 1 bintang dari 5 bintang Diberi,Fifi Hafandi,"CERMATI !! TOLONG HAPUS DATA SAYA !! JANJI ANDA TERLALU KEBAGUSAN !!! SERINGKALI SURVEY TP HASIL GA ADA !!! BUANG2 WAKTU!!! SAYA LAPORKAN SATGAS OJK NANTI APLIKASI INI KALO MSH ADA YG TLP2 SAYA BUAT SURVEY YG GA PENTING !!! CERMATI MEMANG APKLASI BROKER KE PIHAK PENGEMBANG,TP SETIDAK NYA HRS JG BS M...
Ulasan Lengkap",12/16/2019
233,Diberi rating 5 bintang dari 5 bintang Diberi,Andik iswandi,Mantap sangat terbantu,01/18/2020
234,Diberi rating 5 bintang dari 5 bintang Diberi,arya swara,Semoga bsa membntu ya,02/29/2020
235,Diberi rating 3 bintang dari 5 bintang Diberi,Galih Marsudi Nurcahyo,Sukses terus cermati,12/11/2019
236,Diberi rating 1 bintang dari 5 bintang Diberi,Coc 01,Sangat sangat buruk,01/04/2020
237,Diberi rating 5 bintang dari 5 bintang Diberi,SAHRAN Solusi Sehat TOTOK SYARAF JARI GLEDEK,Sangat Mudah Pengajuannya dan Membantu sekali,01/05/2020
238,Diberi rating 5 bintang dari 5 bintang Diberi,Susanti UsAn,5 bintang yaaaa cmoga di accc cair uangnyaaa,01/09/2020
239,Diberi rating 5 bintang dari 5 bintang Diberi,Wiwin Tan,Semoga di acc.,01/20/2020
240,Diberi rating 5 bintang dari 5 bintang Diberi,Adhy Panjul,Mudah2an di acc,02/12/2020
241,Diberi rating 5 bintang dari 5 bintang Diberi,feri padli,Sangat membantu pengajuan saya di setujui,11/21/2019
242,Diberi rating 5 bintang dari 5 bintang Diberi,Negri Sakti kontruction,Semoga di acc karna butuh bgt biayaya,01/20/2020
